"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Footprint_Short","MFG Part #","Datasheet","Description"
"C1,C2,C12,C18","4","10uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","0805","GRM21BZ71E106KE15L","https://www.digikey.com/en/products/detail/murata-electronics/GRM21BZ71E106KE15L/13904911","Confirmed - 50"
"C3,C6,C10,C13,C14,C17,C21","7","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","0805","KGM21NR71E104KT","https://www.digikey.com/en/products/detail/kyocera-avx/KGM21NR71E104KT/1116281","Confirmed - 50"
"C5","1","0.47uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","0805","GRM188R71E474KA12D","https://www.digikey.com/en/products/detail/murata-electronics/GRM188R71E474KA12D/702555","Confirmed - 10"
"C7,C8","2","22uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","0805","GRM21BR61C226ME44L","https://www.digikey.com/en/products/detail/murata-electronics/GRM21BR61C226ME44L/4905531","Confirmed - 25"
"C9,C16","2","470uF","","","","Libraries:CAP_EEHZU1E471P","Radial, Can - SMD 10mm","EEH-ZU1E471P","https://www.digikey.com/en/products/detail/panasonic-electronic-components/EEH-ZU1E471P/14114075","Confirmed - 10"
"C11,C15,C20","3","47uF","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1210","TMK325ABJ476MM-P","https://www.digikey.com/en/products/detail/taiyo-yuden/TMK325ABJ476MM-P/7067064","Confirmed - 20"
"C19","1","560uF","","","","Capacitor_SMD:CP_Elec_10x7.9","Radial, Can - SMD 10mm","10SVP560M","https://www.digikey.com/en/products/detail/panasonic-electronic-components/10SVP560M/4204770","Confirmed - 10"
"C22","1","1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","0805","GRM21BR71A105KA01K","https://www.digikey.com/en/products/detail/murata-electronics/GRM21BR71A105KA01K/2546935","Confirmed - 20"
"D1","1","sch","","","","Diode_SMD:D_SOD-123","SOD-123","B5819W","https://www.digikey.com/en/products/detail/good-ark-semiconductor/B5819W/18648698","Confirmed - 10"
"D2","1","SMAJ15A","","","","Diode_SMD:D_SMA","DO-214AC, SMA","SMAJ15A","https://www.digikey.com/en/products/detail/bourns-inc/SMAJ15A/2254246","Confirmed - 10"
"D3","1","SM24CANB-02HTG","","","","Libraries:SM24CANB02HTG"," SOT-23-3","SM24CANB-02HTG","https://www.digikey.com/en/products/detail/littelfuse-inc/SM24CANB-02HTG/5048174?s=N4IgTCBcDaIMoFkwBYDCBBAcgIQLQAYwAJAFQHEQBdAXyA","Confirmed - 10"
"D4,D7","2","RED","","","","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","1206","QTLP650D2TR","https://www.digikey.com/en/products/detail/everlight-electronics-co-ltd/QTLP650D2TR/2675908","Confirmed - 10"
"D5,D8","2","GRN","","","","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","1206","QTLP650D4TR/QT15-21SYGD/S530-E2/TR8","https://www.digikey.com/en/products/detail/everlight-electronics-co-ltd/QTLP650D4TR-QT15-21SYGD-S530-E2-TR8/2675910","Confirmed - 10"
"D6","1","BLU","","","","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","1206","HSMR-C150","https://www.digikey.com/en/products/detail/broadcom-limited/HSMR-C150/637697","Confirmed - 10"
"F1","1","15A","","","","Fuse:Fuseholder_Blade_Mini_Keystone_3568","36-3568-ND","36-3568-ND","https://www.digikey.com/en/products/detail/keystone-electronics/3568/2137306","Confirmed - 5"
"F2","1","1812L260/16MR","","","","Fuse:Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder","1812","1812L260/16MR","https://www.digikey.com/en/products/detail/littelfuse-inc/1812L260-16MR/4556471","Confirmed - 10"
"FB1","1","FerriteBead_Small","","","","digikey-footprints:0805","0805","BLM21PG121SN1D","https://www.digikey.com/en/products/detail/murata-electronics/BLM21PG121SN1D/2588110?s=N4IgTCBcDaIEIBkCyYCMAFA4qtBlAcqgCIgC6AvkA","Confirmed - 10"
"J6","1","LED Headers","","","","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-6_1x06_P2.54mm_Horizontal","1x06 2.45mm pitch","OSTVN06A150","https://www.digikey.com/en/products/detail/on-shore-technology-inc/OSTVN06A150/1588866","Confirmed - 10"
"J7","1","VESC UART","","","","Connector_JST:JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical","","BM03B-GHS-TBT","https://www.digikey.com/en/products/detail/jst-sales-america-inc/BM03B-GHS-TBT/807801","Confirmed - 5"
"J8","1","RP3 JST GH","","","","Connector_JST:JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical","","SM04B-GHS-TB","https://www.digikey.com/en/products/detail/jst-sales-america-inc/SM04B-GHS-TB/807788","Confirmed - 6"
"J9","1","Motor Block","","","","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-4_1x04_P2.54mm_Horizontal","1x04 2.45mm pitch","OSTVN04A150","https://www.digikey.com/en/products/detail/on-shore-technology-inc/OSTVN04A150/1588864","Confirmed - 10"
"J10","1","Power Header","","","","Connector_PinSocket_2.54mm:PinSocket_2x04_P2.54mm_Vertical","2x04 2.45mm pitch","PPTC042LFBN-RC","https://www.digikey.com/en/products/detail/sullins-connector-solutions/PPTC042LFBN-RC/810211","Confirmed - 10"
"J11","1","VESC CAN","","","","Connector_JST:JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical","","BM03B-GHS-TBT","https://www.digikey.com/en/products/detail/jst-sales-america-inc/BM03B-GHS-TBT/807801","Confirmed - 5"
